City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Korla,CN,2021-04-07 19:36:10,41.7597,86.1469,57.9,29,100,5.66
253,Namtsy,RU,2021-04-07 19:36:10,62.7161,129.6658,-11.2,70,0,6.71
254,Yumen,CN,2021-04-07 19:36:11,40.2833,97.2,46.72,35,98,11.05
255,Barrow,US,2021-04-07 19:34:52,71.2906,-156.7887,-18.4,63,90,12.66
256,Balkanabat,TM,2021-04-07 19:36:11,39.5108,54.3671,67.48,38,33,3.2
257,Langsa,ID,2021-04-07 19:36:11,4.4683,97.9683,72.72,95,100,2.33
258,Sobolevo,RU,2021-04-07 19:36:12,54.4299,31.8996,32.41,86,100,6.13
259,Bemidji,US,2021-04-07 19:36:12,47.4736,-94.8803,46.4,81,90,9.22
260,Nelson Bay,AU,2021-04-07 19:36:12,-32.7167,152.15,63.0,100,90,3.44
261,Mamlyutka,KZ,2021-04-07 19:36:12,54.9375,68.5394,34.27,99,100,9.26
262,Iracoubo,GF,2021-04-07 19:36:13,5.4802,-53.2011,77.7,89,100,6.08
263,Sassandra,CI,2021-04-07 19:36:13,4.95,-6.0833,80.87,82,40,8.14
264,Hobyo,SO,2021-04-07 19:36:14,5.3505,48.5268,80.17,58,82,13.06
265,Yelizovo,RU,2021-04-07 19:31:59,53.1873,158.3805,26.6,68,75,6.71
266,Jurmala,LV,2021-04-07 19:36:14,56.968,23.7704,35.6,75,0,10.36
267,Marolambo,MG,2021-04-07 19:36:14,-20.05,48.1167,68.23,97,100,3.31
268,Bubaque,GW,2021-04-07 19:36:15,11.2833,-15.8333,78.17,78,93,19.71
269,Pemangkat,ID,2021-04-07 19:36:15,1.1667,108.9667,77.79,84,100,5.1
270,Faanui,PF,2021-04-07 19:36:16,-16.4833,-151.75,80.94,70,68,14.74
271,Shitanjing,CN,2021-04-07 19:36:16,39.2342,106.3439,45.59,44,63,7.07
272,Holbeach,GB,2021-04-07 19:36:16,52.804,0.0144,42.8,39,0,2.3
273,Methven,NZ,2021-04-07 19:36:16,-43.6333,171.65,46.0,49,0,2.98
274,Puerto Baquerizo Moreno,EC,2021-04-07 19:36:17,-0.9,-89.6,78.8,89,75,5.75
275,Asfi,MA,2021-04-07 19:32:01,32.2994,-9.2372,61.45,86,0,10.16
276,Inirida,CO,2021-04-07 19:36:17,3.8653,-67.9239,83.97,78,94,2.21
277,Hakkari,TR,2021-04-07 19:36:18,37.5833,44.1667,46.85,63,70,2.75
278,Alta Floresta,BR,2021-04-07 19:36:18,-9.8756,-56.0861,89.6,58,40,3.44
279,Victor Harbor,AU,2021-04-07 19:36:18,-35.5667,138.6167,64.99,40,18,1.01
280,Sangueya,GN,2021-04-07 19:36:19,10.7,-14.3667,79.56,76,20,6.96
281,Praia,CV,2021-04-07 19:36:19,14.9215,-23.5087,77.0,53,0,20.71
282,Coquimbo,CL,2021-04-07 19:33:16,-29.9533,-71.3436,64.4,72,75,12.66
283,Privolzhye,RU,2021-04-07 19:36:19,52.8649,48.6044,32.4,97,91,5.66
284,Kijang,KR,2021-04-07 19:36:20,35.2442,129.2139,51.8,71,0,3.44
285,Jiaohe,CN,2021-04-07 19:36:20,43.7286,127.3447,31.37,52,79,4.43
286,San Cristobal,VE,2021-04-07 19:34:47,7.7669,-72.225,91.4,38,75,19.57
287,Teahupoo,PF,2021-04-07 19:36:20,-17.8333,-149.2667,84.2,58,20,5.75
288,Aldan,RU,2021-04-07 19:36:21,58.6031,125.3894,7.74,91,100,5.3
289,Camacupa,AO,2021-04-07 19:36:21,-12.0167,17.4833,66.47,64,91,3.31
290,La Palma,US,2021-04-07 19:32:32,33.8464,-118.0467,79.0,53,20,9.22
291,Atbasar,KZ,2021-04-07 19:36:21,51.8,68.3333,34.86,99,100,8.55
292,Codrington,AU,2021-04-07 19:36:22,-38.2667,141.9667,56.05,72,6,8.21
