City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
639,Guamuchil,MX,25.4667,-108.1,90.14,24,92,4.25,overcast clouds
640,French Harbor,HN,16.35,-86.4333,82.4,83,75,9.22,broken clouds
641,Fairlie,GB,55.756,-4.8556,42.01,65,94,5.99,overcast clouds
642,Ossora,RU,59.2353,163.0719,5.94,96,94,3.24,overcast clouds
643,Shelburne,CA,44.0787,-80.2041,66.2,27,1,8.05,clear sky
644,Teano,IT,41.2513,14.0665,42.8,81,75,8.48,light rain
645,Shelton,US,41.3165,-73.0932,64.99,39,1,3.44,clear sky
646,Abu Dhabi,AE,24.4667,54.3667,75.2,73,0,4.61,clear sky
647,Naron,ES,43.5167,-8.1528,62.6,48,0,6.91,clear sky
648,Dudinka,RU,69.4058,86.1778,2.28,88,6,9.19,clear sky
649,Marolambo,MG,-20.05,48.1167,68.68,98,99,2.66,overcast clouds
650,Ballangen,NO,68.3428,16.8315,32.0,80,75,2.3,light snow
651,Akyab,MM,20.15,92.9,78.96,77,5,4.94,clear sky
652,Bingol,TR,38.8847,40.4939,55.08,67,14,3.8,few clouds
653,Kamaishi,JP,39.2667,141.8833,41.41,62,16,9.48,few clouds
654,Vyazma,RU,55.2104,34.2951,32.74,99,100,6.91,snow
655,Erenhot,CN,43.6475,111.9767,43.36,40,0,7.23,clear sky
656,San Policarpo,PH,12.1791,125.5072,77.95,79,39,8.41,scattered clouds
657,Crateus,BR,-5.1783,-40.6775,91.58,36,86,7.7,overcast clouds
658,Catio,GW,11.2833,-15.25,85.89,53,35,13.11,scattered clouds
659,Haimen,CN,23.1935,116.6142,66.2,55,0,4.47,clear sky
660,New Albany,US,38.2856,-85.8241,80.6,41,40,11.5,scattered clouds
661,Pokotylivka,UA,49.9153,36.1772,44.6,87,40,6.71,scattered clouds
662,Asau,RO,46.4333,26.4,32.0,65,95,1.66,light snow
663,Illkirch-Graffenstaden,FR,48.5289,7.7152,42.8,49,0,10.36,clear sky
664,Bihac,BA,44.8169,15.8708,32.77,95,55,1.3,light snow
665,Wattegama,LK,6.7989,81.4808,73.81,88,32,1.43,scattered clouds
666,San Ignacio,BZ,17.1561,-89.0714,82.99,69,75,4.61,broken clouds
667,Maneadero,MX,31.7167,-116.5667,64.99,83,25,3.0,scattered clouds
668,Oliveira Dos Brejinhos,BR,-12.3169,-42.8961,91.98,30,40,2.06,scattered clouds
669,Idenao,CM,4.2475,9.0047,86.0,79,20,8.05,moderate rain
